,Text,Real
1,Term The Rajya Sabha is a permanent House.,0
2," It cannot be dissolved. Whcn the Lok Sabha is not in session or is dissolved, the permanent house still functions.",0
3,"However, each member of the Rajya Sabha enjoys a six-year tcrm.",0
4,Every two years one-third of its members retire by rotation. ,0
5,The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. ,1
6,Election to the Rajya Sabha is done indirectly.,2
7,The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote.,2
8,The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population.,2
9,A constituency is an area demarcated for the purpose of election.,2
10,"In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha.",2
11,Each State and Union Territory is divided into territorial constituencies.The division is not based on area but on population.,2
12,"Let us consider Mizoram, Rajasthan and Uttar Pradesh. Uttar Pradesh, a large state with dense population, has 80 constituencies.",2