,example 0,time 0,example 1,time 1,example 2,time 2,example 3,time 3,example 4,time 4,example 5,time 5,example 6,time 6,example 7,time 7,example 8,time 8,example 9,time 9
0,,,,,,,,,,,,,,,,,,,,
1,"The Lok Sabha is elected for a term of five years . Its life can be extended for one year at a time during a national emergency . It can be dissolved earlier than its term by the President on the advice of the Prime Minister . It can be voted out of power by a debate and vote on a no-confidence motion . During the 13 "" Lok Sabha . The House may have not more than 552 members ; 530 elected from the states and not more than 2 members nominated from the Anglo-Indian Community . At present , the strength of the Lok Sabha is 545 . Election to the Lok Sabha is by universal adult franchise . Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha . The election is direct but by secret ballot , so that nobody is threatened or coerced into voting for a particular party or an individual . The Election Commission . What 's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back .
",905.2352001667023,"Term The Rajya Sabha is a permanent House . It can not be dissolved . When the Lok Sabha is not in session or is dissolved , the permanent house still functions . However . Every two years one-third of its members retire by rotation . The total strength of the Rajya Sabha can not be more than 250 of which 238 are elected while 12 arc nominated by the President of India . Election to the Rajya Sabha is done indirectly . The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote . The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population . A constituency is an area demarcated for the purpose of election . In other words , it is an area or locality with a certain number of people . Each State and Union Territory is divided into territorial constituencies . The division is not based on area but on population . Let us consider Mizoram , Rajasthan and Uttar Pradesh . Uttar Pradesh has 80 constituencies .
",794.5898461341858,"Justice is not the prerogative of the rich and powerful . Every Indian has the right to seek judicial redressal for injustice done to him/her , whether it is loss of revenue or destruction of environment . He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution , themselves having suffered the ignominy of unfair practices under the British , ensured in the Constitution that Modern India would have an independent judiciary , so that all citizens would feel free to approach the judicial system and settle their disputes lawfully . The Indian judiciary is fully integrated starting with the Apex Court at the top going down to the lowest courts in the districts . The structure of the Indian judicial system is elaborate . It covers major conflict areas such as disputes between two states and goes right down to the level of Lok Adalats that settle the simplest civil disputes at the village level .
",121.62006568908691,"The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India . <SEP> The structure of the Federal Court of India was set up by the British under the Government of India Act , 1935 . He/she has a bench of judges . The Supreme Court . The President of India appoints the Chief Justice after consulting with the judges of the Supreme Court and the Chief Justices of the High Courts . The other judges of the Supreme Court are appointed by the President in consultation with the Chief Justice of India .
",61.61289405822754,"The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system , so it looks after the administration of all courts of the country and regulates their functioning . It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all . All decisions and decrees of the Supreme Court are kept as records for future reference . Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases . One of the important reasons why the Supreme Court is called the ` Custodian of the Constitution is that it has the power to examine the validity of the laws made by the Union and State Legislatures . In case , any law violates the spirit of the Constitution , the Supreme Court can declare it null and void .
",76.56777000427246,"The High Court , like the Supreme Court has the responsibility of protecting the Constitution of India . Therefore , it has the right to declare any law or executive order of the state null and void , if it finds that it contradicts or goes against the spirit of Constitution . The 42 째 * amendment to the Constitution had restricted this authority of the High Court during emergency , but with the repeal of certain sections of the amendment , the powers have been reinstated . It protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement . It does so by issuing writs to the offending parties . The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters . The High Court is responsible for the administration of all courts in the state within its jurisdiction and itself . It has to a see that justice is available to all . Ihe High Court has the | right to frame laws and regulations for Subordinate Courts wp and Tribunal except for Military Tribunals .
",142.49099493026733,"The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all . For that to happen we need a judicial system that is free from all influences and acts impartially . To maintain the independence of the judiciary certain features were created for those serving in the judicial system : To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service , that is , loss of job and are not put under any pressure to deliver judgements in favour of the government , the Constitution clearly states that while the President appoints them , neither he/she nor any other person can remove them from office . ` This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs . ` The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it . This is why the judges can deliver judgements against the bills passed by the Parliament without any fear of removal . Their personal security and that of their family is the responsibility of the State . This allows them to handle criminal cases dealing with ruthless criminals without fear of any repercussions on themselves or their families . They can declare their decisions in court without fear of censure and criticism in the press .
",110.08969068527222,"India was still an agrarian economy and a majority of its population resided in villages . With the advent of British annexation on territories , farmers were forced to grow only cash crops such as indigo , opium and cotton at the cost of food grains . The company bought crops at the lowest possible rate , which meant the farmer made almost no profit . Then the farmers had to buy food grain as they no longer grew it ; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore . This led to starvation deaths and famines . In addition to high expenses and scarcity of food grain , farmers had to pay high taxes to the British which was extracted by the oppressive zamindars , Crops like indigo reduced the quality of the soil and made it unfit for farming food crops . The company 's mishandling of the peasantry clearly shows that the company put short-term profits for themselves over long-term concern for the Indian people .
",3815.044214963913,"It was not merely a revolt by the British army personnels or rulers of particular regions ; it was a massive war which witnessed participation of kings , queens , landlords , peasants , tribals and soldiers alike . While the war actually took place in 1857 , the ground for the battlefield was prepared over a course of hundred years . The British . The victory of British troops over Bengal in the Battle of Lord Clive and Mir Zafar Plassey in 1757 was an inception of British rule in India . a With this , British moved on to becoming the rulers of the lands of Bengal , Bihar and Orissa -LCB- now Odisha ) and the whole of India after 1857 . Even though the revolt broke out in 1857 , the undercurrents had been felt much earlier . The pursuit of exploitative political and economic policies by the British was largely resented by the diverse sections of the Indian society . All it needed was the proverbial trigger to be pulled , which eventually happened with the hanging of a young sepoy Mangal Pandey .
",646.8861570358276,"Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe . While there were many complex reasons for this , one of the obvious reasons was that Europe was grappling with the concept of democracy . After the First World War , many new nations came into existence . These nations were created by the break up of raperial F empires . Unfortunately , these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries . So they tried to adopt democracy but occasionally failed . Since the power of politics and its use was still beyond the understanding of most people as they lacked political experience , the few who mastered it bypassed the democratic process for their benefit . ` This gave rise to dictatorships all over Europe , most important of which were in Italy and Germany . While dictatorships brought a semblance of political stability to the new state , they were disastrous for the overall political environment of Europe . Dictatorships were based on the attitude that military might is power and power is right . As nations , they became belligerent and aggressive .
",136.4892292022705
2,"The Lok Sabha is elected for a term of five years . Its life can be extended for one year at a time during a national emergency .
It can be dissolved earlier than its term by the President on the advice of the Prime Minister.It can be voted out of power by a debate and vote on a no-confidence motion .
Bhartiya Janata Party may have not more than 552 members ; 530 elected from the states from Union Territories and not more than 2 members nominated from the Anglo-Indian Community . <SEP> This was by one vote .
At present , the strength of the Lok Sabha is 545 . Election to the Lok Sabha is by universal adult franchise .
Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha.The election is direct but by secret ballot , so that nobody is threatened or coerced into voting for a particular party or an individual .
The Election Commission was an autonomous body . <SEP> The entire process of election.What 's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back .
",20.670734882354736,"Term The Rajya Sabha is a permanent House . It can not be dissolved .
When the Lok Sabha is not in session or is dissolved , the permanent house still functions.However , each member of the Rajya Sabha enjoys a six-year tcrm .
Every two years one-third of its members retire by rotation.The total strength of the Rajya Sabha can not be more than 250 of which 238 are elected while 12 arc nominated by the President of India .
Election to the Rajya Sabha is done indirectly.The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote .
The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population.A constituency is an area demarcated for the purpose of election .
In other words , it is an area or locality with a certain number of people . <SEP> People choose a person to represent them in the Lok Sabha.Each State .
The division is not based on area but on population.Let us consider Mizoram , Rajasthan and Uttar Pradesh .
Uttar Pradesh is a large state with dense population .
",11.321514129638672,"Justice is not the prerogative of the rich and powerful . Every Indian has the right to seek judicial redressal for injustice done to him/her , whether it is loss of revenue or destruction of environment .
He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution , themselves having suffered the ignominy of unfair practices under the British would have an independent judiciary , so that all citizens would feel free to approach the judicial system and settle their disputes lawfully.The Indian judiciary is fully integrated starting with the Apex Court at the top going down to the lowest courts in the districts . <SEP> Our Constitution is ensured in India .
The structure of the Indian judicial system is elaborate.It covers major conflict areas such as disputes between two states and goes right down to the level of Lok Adalats that settle the simplest civil disputes at the village level .
",24.05037212371826,"The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India that was set up by the British under the Government of India Act , 1935 . It is the highest court of appeal in India .
The Supreme Court of India is headed by the Chief Justice of India.He / she has a bench of judges .
The Supreme Court consists of the Chief Justice and 25 judges.However . <SEP> This is fixed by the Parliament .
The President of India appoints the Chief Justice after consulting with the judges of the Supreme Court . <SEP> The Chief Justices of the High Courts.The other judges of the Supreme Court are appointed by the President in consultation .
",10.047171115875244,"The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system , so it looks after the administration of all courts of the country and regulates their functioning . It decides on the methods . <SEP> The procedures have to be adopted .
Records for future reference.Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases .
One of the important reasons why the Supreme Court is called the ` Custodian of the Constitution is that it has the power to examine the validity of the laws made by the Union and State Legislatures.In case . <SEP> Any law violates the spirit of the Constitution .
",21.920989990234375,"This is like the Supreme Court . <SEP> The High Court has the responsibility of protecting the Constitution of India . Therefore , it has the right to declare any law or executive order of the state null and void , if it finds that it contradicts or goes against the spirit of Constitution .
With the repeal of certain sections of the amendment , the powers have been reinstated.It protects the rights of each citizen of the country and sees to it . <SEP> These rights are not eroded or diluted through misinterpretation or infringement .
It does so by issuing writs to the offending parties.The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters .
The High Court is responsible for the administration of all courts in the state within its jurisdiction and itself.It has to a see that justice is available to all .
Ihe High Court has the | right to frame laws and regulations for Subordinate Courts wp and Tribunal except for Military Tribunals .
",15.811152935028076,"The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all . For that to happen we need a judicial system that is free from all influences and acts impartially .
Certain features were created for those serving in the judicial system . ` . <SEP> To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service and are not put under any pressure to deliver judgements in favour of the government , the Constitution clearly states that while the President appoints them , neither he/she nor any other person can remove them from office . ` .
The salary and perks of the judiciary are charged to the Consolidated Fund of India . <SEP> Is why the judges can deliver judgements against the bills passed by the Parliament without any fear of removal it.This .
Their personal security and that of their family is the responsibility of the State.This allows them to handle criminal cases dealing with ruthless criminals without fear of any repercussions on themselves or their families .
They can declare their decisions in court without fear of censure and criticism in the press .
",22.08069610595703,"This was at the cost of food grains . <SEP> India was still an agrarian economy and a majority of its population , farmers were forced to grow only cash crops such as indigo , opium and cotton .
The company bought crops at the lowest possible rate , which meant the farmer made almost no profit.Then the farmers had to buy food grain as they no longer grew it . <SEP> Food grain and vegetables were expensive .
This led to starvation deaths and famines.In addition to high expenses and scarcity of food grain . <SEP> Crops like indigo reduced the quality of the soil and made it unfit for farming food crops .
The company 's mishandling of the peasantry clearly shows that the company put short-term profits for themselves over long-term concern for the Indian people .
",14.100915908813477,"It was not merely a revolt by the British army personnels or rulers of particular regions . <SEP> While the war actually took place in 1857 , the ground for the battlefield was prepared over a course of hundred years the British army .
The British gradually embarked on a dual mission of conquest and profit in India.The victory of British troops over Bengal in the Battle of Lord Clive . <SEP> Mir Zafar Plassey in 1757 was an inception of British rule in India .
A With this , British moved on to becoming the rulers of the lands of Bengal , Bihar and Orissa -LCB- now Odisha ) and the whole of India after 1857 . Even though the revolt broke out in 1857 .
The pursuit of exploitative political and economic policies by the British was largely resented by the diverse sections of the Indian society.All it needed was the proverbial trigger to be pulled .
But before you delve into the chronicle of the revolt that eventually turned into a war , it is important to understand the main causes of revolt of 1857 .
",17.940603017807007,"Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe . <SEP> There were many complex reasons for this .
After the First World War , many new nations came into existence.These nations were created by the break up of raperial F empires .
These new states had no clear political legacy . <SEP> They had no political experience or class of their own other than revolutionaries.So they tried to adopt democracy but occasionally failed .
The power of politics and its use was still beyond the understanding of most people as they lacked political experience . <SEP> The few who mastered it bypassed the democratic process for their benefit . were in Italy and Germany .
Dictatorships brought a semblance of political stability to the new state . <SEP> The overall political environment of Europe.Dictatorships were based on the attitude that military might is power and power is right .
They became belligerent and aggressive .
",14.849712133407593
3,"This was at a time . <SEP> The Lok Sabha is elected for a term of five years . Its life can be extended for one year . It can be dissolved earlier than its term by the President .
Lok Sabha was power by a debate and vote on a no-confidence . <SEP> It can be voted out of Lok Sabha and had to resign . The House may have not more than 552 members ; 530 elected from the states from Union Territories and not more than 2 members nominated from the Anglo-Indian Community .
Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha 545 . <SEP> Election to the Lok Sabha is 545 . by universal adult franchise .
Election Commission was an individual.The . <SEP> The election is direct but by secret ballot , so that nobody is threatened or coerced into voting for Election Commission , organises , manages and oversees the entire process of election . What 's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back .
",28.443952083587646,"Term The Rajya Sabha is a permanent House . When the Lok Sabha is not in session or is dissolved , the permanent house still functions .
However , each member of the Rajya Sabha enjoys a six-year tcrm.Every two years one-third of its members retire by rotation . The total strength of the Rajya Sabha can not be more than 250 of which 238 are elected while 12 arc nominated by the President of India .
Election to the Rajya Sabha is done indirectly.The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote . The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population .
A constituency is an area demarcated for the purpose of election.In other words . <SEP> It is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha . Each State .
The division is not based on area . <SEP> Rajasthan and Uttar Pradesh . Uttar Pradesh are a large state with dense population .
",22.12788200378418,"Injustice was done to him/her would have an independent judiciary , so that all citizens would feel free to approach the judicial system and settle their disputes lawfully . <SEP> It is loss of revenue or destruction of environment . He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution , themselves having suffered the ignominy of unfair practices under the British .
It covers major conflict areas such as disputes between two states . <SEP> Is fully integrated starting with the Apex Court at the top going down to the lowest courts in the districts.The structure of the Indian judicial system The Indian judiciary .
",27.681994915008545,"The structure of the Federal Court of India was set up by the British . <SEP> It is the highest court of appeal in India . The Supreme Court of India is headed by the Chief Justice of India 1935 .
He/she has a bench of judges who work with him/her . The Supreme Court consists of the Chief Justice and 25 judges . However . <SEP> This is fixed by the Parliament .
The President of India appoints the Chief Justice after consulting with the judges of the Supreme Court . <SEP> The Chief Justices of the High Courts.The other judges of the Supreme Court are appointed by the President in consultation .
",11.976622104644775,"The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system , so it looks after the administration of all courts of the country and regulates their functioning . are kept as records for future reference . <SEP> It decides The Supreme Court on the procedures and the methods to make the system efficient and effective for all . All decisions and decrees of the Supreme Court .
Important decisions in landmark cases of the High Court are also kept as records to raise as points of reference in other cases.One of the important reasons why the Supreme Court is called the ` Custodian of the Constitution is that it has the power to examine the validity of the laws , the Supreme Court can declare it null and void . <SEP> The laws are made by the Union and State Legislatures .
",27.446160793304443,"This is like the Supreme Court . <SEP> The High Court has the responsibility of protecting the Constitution of India . Therefore , it has the right to declare any law or executive order of the state null and void , if it finds that it contradicts or goes against the spirit of Constitution . The 42 째 * amendment to the Constitution had restricted this authority of the High Court during emergency .
It protects the rights of each citizen of the country and sees to it that these rights are not eroded or diluted through misinterpretation or infringement.It does so by issuing writs to the offending parties . The High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters .
Itself.It . Ihe High Court has the | right to frame laws and regulations for Subordinate Courts wp and Tribunal except for Military Tribunals . <SEP> Has to a see that justice is available to all itself.It .
",24.733794689178467,"The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all . ` . <SEP> Certain features are not put under any pressure to deliver judgements in favour of the government , the Constitution clearly states that while the President appoints them , neither he/she nor any other person can remove them from office . ` .
This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs . ` The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it . This is why the judges can deliver judgements against the bills passed by the Parliament without any fear of removal .
This is without fear of censure and criticism . <SEP> Allows them to handle criminal cases dealing with ruthless criminals without fear of any repercussions on themselves or their families . They can declare their decisions .
",38.164790868759155,"India was still an agrarian economy and a majority of its population , farmers were forced to grow only cash crops such as indigo , opium and cotton at the cost of food grains . The company bought crops at the lowest possible rate . <SEP> The farmer made almost no profit .
Then the farmers had to buy food grain as they no longer grew it . <SEP> Food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore.This led to starvation deaths and famines . In addition to high expenses and scarcity of food grain , farmers had to pay high taxes to the British which was extracted by the oppressive zamindars , Crops like indigo reduced the quality of the soil .
The company 's mishandling of the peasantry clearly shows that the company put short-term profits for themselves over long-term concern for the Indian people .
",26.118715047836304,"It was not merely a revolt by the British army personnels or rulers of particular regions . <SEP> It was a massive war which witnessed participation of kings , queens , landlords , peasants , tribals and soldiers alike . While the war actually took place in 1857 , the ground for the battlefield was prepared over a course of hundred years . The British , gradually embarked on a dual mission of conquest and profit in India .
Clive and Mir Zafar Plassey in 1757 was an inception of British rule in India.a With this , British moved on to becoming the rulers of the lands of Bengal , Bihar and Orissa -LCB- now Odisha ) and the whole of India after 1857 . <SEP> This was what the undercurrents had been felt much earlier .
The pursuit of exploitative political and economic policies by the British was largely resented by the diverse sections of the Indian society.All it needed was the proverbial trigger to be pulled . <SEP> You delve into the chronicle of the revolt that eventually turned into a war .
",31.182235956192017,"Dictatorship or Fascism became an emergent form of government in the early part of the 20th century in Europe . <SEP> After the First World War , many new nations came Europe . into existence .
These nations were created by the break up of raperial F empires.Unfortunately , these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries . So they tried to adopt democracy but occasionally failed .
The power of politics and its use was still beyond the understanding of most people . <SEP> The few bypassed the democratic process for their benefit . ` This gave rise all over Europe , most important of which were in Italy and Germany . While dictatorships brought a semblance of political stability to the new state , they were disastrous for the overall political environment of Europe .
Dictatorships were based on the attitude that military might is power and power is right.As nations , they became belligerent and aggressive .
",20.809234857559204
4,"The Lok Sabha is elected for a term of five years . Its life It can be voted out of power by a debate . <SEP> Can be extended for one year at a time during a national emergency . Its life .
Lost a no ~ confidence motion by one vote and had to House Bhartiya Janata Party . <SEP> Not more than 2 members nominated from the Anglo-Indian Community . Election to the Lok Sabha is by universal adult franchise .
Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha.The election is direct but by secret ballot , so that nobody is threatened or coerced into voting for a particular party or an individual . The Election Commission organises . <SEP> A particular party 's More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back .
",56.637341260910034,"Term The Rajya Sabha is a permanent House . It can not be dissolved . When the Lok Sabha is not in session or is dissolved , the permanent house still functions . However , each member of the Rajya Sabha enjoys a six-year tcrm .
This is with the system of proportional representation . <SEP> Every two years one-third of its members retire by rotation.The total strength of the Rajya Sabha can not be more than 250 of which 238 are elected while 12 arc nominated by the President of India . Election to the Rajya Sabha is done indirectly . The members of the state legislature elect the state representatives .
The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population.A constituency is an area demarcated for the purpose of election . In other words , it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha . Each State and Union Territory is divided into territorial constituencies .
The division is not based on area . <SEP> Rajasthan and Uttar Pradesh . Uttar Pradesh are a large state with dense population .
",24.30547285079956,"Injustice was done to him/her , whether it is loss of revenue or destruction of environment . He/she can demand to be heard and compensated for his/her loss because the framers of our Constitution , themselves having suffered the ignominy of unfair practices under the British , ensured in India , so that all citizens would feel free to approach the judicial system and settle their disputes lawfully . The Indian judiciary is fully integrated starting with the Apex Court . <SEP> India is an independent judiciary .
The structure of the Indian judicial system is elaborate.It covers major conflict areas such as disputes between two states and goes right down to the level of Lok Adalats that settle the simplest civil disputes at the village level .
",48.453712940216064,"The basic structure of the Supreme Court is patterned on the structure of the Federal Court of India that was set up by the British under the Government of India Act , 1935 . It is the highest court of appeal in India . The Supreme Court of India is headed by the Chief Justice of India . He/she has a bench of judges who work with him/her .
This is fixed by the Parliament . The President of India appoints the Chief Justice after consulting with the judges of the Supreme Court and the Chief Justices of the High Courts . The other judges of the Supreme Court were 25 judges.However . <SEP> 25 judges.However are appointed by the President in consultation .
",24.362640142440796,"The Supreme Court as the apex court of India has the responsibility to see the smooth functioning of the entire judicial system , so it looks after the administration of all courts of the country and regulates their functioning . It decides on the procedures that have to be adopted and the methods to make the system efficient and effective for all . All decisions and decrees of the Supreme Court are kept . <SEP> This was to raise as points of reference in other cases .
One of the important reasons why the Supreme Court is called the ` Custodian of the Constitution is that it has the power to examine the validity of the laws made by the Union and State Legislatures.In case . <SEP> Any law violates the spirit of the Constitution .
",27.046782970428467,"Amendment to the Constitution had restricted this authority of the High Court during emergency , but with the repeal of certain sections of the amendment . <SEP> The High Court has the responsibility of protecting the Constitution of India . Therefore , it has the right to declare any law or executive order of the state null and void , if it finds that it contradicts or goes against the spirit of Constitution . The 42 째 .
High Courts are issuing writs to the offending parties.The . <SEP> High Courts are there to provide advice to all government agencies and the Governor to resolve problems that they might face regarding constitutional matters . The High Court . It has to a see that justice is available to all .
Ihe High Court has the | right to frame laws and regulations for Subordinate Courts wp and Tribunal except for Military Tribunals .
",76.08579874038696,"The framers of our Constitution wanted us to live in a nation that upholds freedom of thought and expression and where there is justice for all . For that to happen we need a judicial system that is free from all influences and acts impartially . To maintain the independence of the judiciary certain features were created for those serving in the judicial system : To ensure that judges of the Supreme Court and High Courts do not suffer from insecurity of service , that is , loss of job and are not put under any pressure to deliver judgements in favour of the government , the Constitution clearly states that while the President appoints them , neither he/she nor any other person can remove them from office . ` This gives them ease to discharge their duties without any fear of external pressure or loss of their jobs . `
The salary and perks of the judiciary are charged to the Consolidated Fund of India and neither the Parliament nor the Executive has any control over it.This . Their personal security and that of their family is the responsibility of the State . This allows them to handle criminal cases dealing with ruthless criminals without fear of any repercussions on themselves or their families . <SEP> Is why the judges can deliver judgements against the bills .
They can declare their decisions in court without fear of censure and criticism in the press .
",38.0208899974823,"India was still an agrarian economy and a majority of its population resided in villages . With the advent of British annexation on territories . <SEP> The farmers had to buy food grain as they no longer grew it ; food grain and vegetables were expensive as they were scarce as not many farmers grew them anymore .
Food grain is farmers had to pay high taxes to the British , Crops like indigo reduced the quality of the soil and made it unfit for farming food crops . The company 's mishandling of the peasantry . <SEP> The company put short-term profits for themselves over long-term concern for the Indian people .
",19.846287965774536,"It was a massive war which witnessed participation of kings , queens , landlords , peasants , tribals and soldiers alike . While the war actually took place in 1857 , the ground for the battlefield was prepared over a course of hundred years . The British , who had initially arrived as traders , gradually embarked on a dual mission of conquest and profit in India . The victory of British troops over Bengal in the Battle of Lord Clive . <SEP> Mir Zafar Plassey in 1757 was an inception of British rule in India .
A With this , British moved on to becoming the rulers of the lands of Bengal , Bihar and Orissa -LCB- now Odisha ) and the whole of India after 1857 . The pursuit of exploitative political and economic policies by the British was largely resented by the diverse sections of the Indian society . All it needed was the proverbial trigger to be pulled , which eventually happened with Mangal Pandey . <SEP> The revolt broke out in 1857 .
But before you delve into the chronicle of the revolt that eventually turned into a war , it is important to understand the main causes of revolt of 1857 .
",36.6749210357666,"Dictatorship or Fascism After the First World War , many new nations came into existence . These nations were created by the break up of raperial F empires . <SEP> While there were many complex reasons for this , one of the obvious reasons was that Europe was grappling with the concept of democracy Europe .
Unfortunately , these new states had no clear political legacy as centuries of imperial rule meant that they had no political experience or class of their own other than revolutionaries.So they tried to adopt democracy but occasionally failed . Since the power of politics . <SEP> Unfortunately , This gave rise to dictatorships all over Europe , most important of which were in Italy and Germany .
While dictatorships brought a semblance of political stability to the new state , they were disastrous for the overall political environment of Europe.Dictatorships were based on the attitude that military might is power and power is right . As nations , they became belligerent and aggressive .
",22.26898694038391
