Text1,Text2
"Its life can be extended for one year at a time during a national emergency. The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. Election to the Lok Sabha is by universal adult franchise.","
The Rajya Sabha is a permanent House. However, each member of the Rajya Sabha enjoys a six-year tcrm. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Uttar Pradesh, a large state with dense population, has 80 constituencies."
"
The Lok Sabha is elected for a term of five years. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election.","It cannot be dissolved. Whcn the Lok Sabha is not in session or is dissolved, the permanent house still functions. Every two years one-third of its members retire by rotation. Each State and Union Territory is divided into territorial constituencies.The division is not based on area but on population."
"It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. At present, the strength of the Lok Sabha is 545. Whats More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.","The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. A constituency is an area demarcated for the purpose of election. Let us consider Mizoram, Rajasthan and Uttar Pradesh."
"Its life can be extended for one year at a time during a national emergency. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign. The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. Election to the Lok Sabha is by universal adult franchise.","However, each member of the Rajya Sabha enjoys a six-year tcrm. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. Uttar Pradesh, a large state with dense population, has 80 constituencies."
"
The Lok Sabha is elected for a term of five years. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election.","It cannot be dissolved. Whcn the Lok Sabha is not in session or is dissolved, the permanent house still functions. The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. A constituency is an area demarcated for the purpose of election. Each State and Union Territory is divided into territorial constituencies.The division is not based on area but on population."
"It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. At present, the strength of the Lok Sabha is 545. Whats More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.","
The Rajya Sabha is a permanent House. Every two years one-third of its members retire by rotation. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Let us consider Mizoram, Rajasthan and Uttar Pradesh."
"Its life can be extended for one year at a time during a national emergency. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign. Election to the Lok Sabha is by universal adult franchise.","However, each member of the Rajya Sabha enjoys a six-year tcrm. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. Uttar Pradesh, a large state with dense population, has 80 constituencies."
"
The Lok Sabha is elected for a term of five years. The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election. Whats More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.","It cannot be dissolved. Whcn the Lok Sabha is not in session or is dissolved, the permanent house still functions. Every two years one-third of its members retire by rotation. The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. A constituency is an area demarcated for the purpose of election. Each State and Union Territory is divided into territorial constituencies.The division is not based on area but on population."
"It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. At present, the strength of the Lok Sabha is 545.","
The Rajya Sabha is a permanent House. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Let us consider Mizoram, Rajasthan and Uttar Pradesh."
"Its life can be extended for one year at a time during a national emergency. During the 13"" Lok Sabha, Bhartiya Janata Party lost a no~confidence motion by one vote and had to resign. Election to the Lok Sabha is by universal adult franchise.","
The Rajya Sabha is a permanent House. However, each member of the Rajya Sabha enjoys a six-year tcrm. Election to the Rajya Sabha is done indirectly. The members of the state legislature elect the state representatives to the Rajya Sabha in accordance with the system of proportional representation by means of a single transferable vote. In other words, it is an area or locality with a certain number of people who choose a person to represent them in the Lok Sabha. Uttar Pradesh, a large state with dense population, has 80 constituencies."
"
The Lok Sabha is elected for a term of five years. The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community. Every Indian citizen above the age of 18 can vote for his/her representative in the Lok Sabha. The election is direct but by secret ballot, so that nobody is threatened or coerced into voting for a particular party or an individual. The Election Commission, an autonomous body elected by the President of India, organises, manages and oversees the entire process of election. Whats More The provision for the Anglo-Indian community was included at the behest of the British Government to protect their nationals who had decided to stay back.","It cannot be dissolved. Whcn the Lok Sabha is not in session or is dissolved, the permanent house still functions. Every two years one-third of its members retire by rotation. A constituency is an area demarcated for the purpose of election. Each State and Union Territory is divided into territorial constituencies.The division is not based on area but on population."
"It can be dissolved earlier than its term by the President on the advice of the Prime Minister. It can be voted out of power by a debate and vote on a no-confidence motion. At present, the strength of the Lok Sabha is 545.","The total strength of the Rajya Sabha cannot be more than 250 of which 238 are elected while 12 arc nominated by the President of India. The seats in the Rajya Sabha for each state and Union Territory arc fixed on the basis of its population. Let us consider Mizoram, Rajasthan and Uttar Pradesh."
